M,N,K,bias,dtype,outdtype,scaleAB,cu_num,libtype,solidx,soltimes,kernelName,tflops,bw
64,256,5120,False,torch.bfloat16,torch.float32,False,80,asm,2,0,_ZN5aiter28bf16gemm_outf32_tn_64x64_pf3E,0,0
80,256,5120,False,torch.bfloat16,torch.float32,False,80,asm,3,0,_ZN5aiter28bf16gemm_outf32_tn_96x64_pf3E,0,0
128,256,5120,False,torch.bfloat16,torch.float32,False,80,asm,2,0,_ZN5aiter28bf16gemm_outf32_tn_64x64_pf3E,0,0
150,256,5120,False,torch.bfloat16,torch.float32,False,80,asm,0,0,_ZN5aiter28bf16gemm_outf32_tn_32x64_pf3E,0,0
192,256,5120,False,torch.bfloat16,torch.float32,False,80,asm,3,0,_ZN5aiter28bf16gemm_outf32_tn_96x64_pf3E,0,0
220,256,5120,False,torch.bfloat16,torch.float32,False,80,asm,0,0,_ZN5aiter28bf16gemm_outf32_tn_32x64_pf3E,0,0
256,256,5120,False,torch.bfloat16,torch.float32,False,80,asm,2,0,_ZN5aiter28bf16gemm_outf32_tn_64x64_pf3E,0,0
384,256,5120,False,torch.bfloat16,torch.float32,False,80,asm,3,0,_ZN5aiter28bf16gemm_outf32_tn_96x64_pf3E,0,0
448,256,5120,False,torch.bfloat16,torch.float32,False,80,asm,0,0,_ZN5aiter28bf16gemm_outf32_tn_32x64_pf3E,0,0
512,256,5120,False,torch.bfloat16,torch.float32,False,80,asm,2,0,_ZN5aiter28bf16gemm_outf32_tn_64x64_pf3E,0,0